CreativeID,AdSetID,CreativeName,CreativeType,Theme,LaunchDate
CRV_00001,ADS_0001,Video_Before-After_v1,Video,Before-After,2026-01-20
CRV_00002,ADS_0001,Image_Product Close-up_v2,Image,Product Close-up,2026-01-20
CRV_00003,ADS_0001,Video_Lifestyle_v3,Video,Lifestyle,2026-01-20
CRV_00004,ADS_0002,Video_Studio Shot_v1,Video,Studio Shot,2026-01-20
CRV_00005,ADS_0002,Video_Unboxing_v2,Video,Unboxing,2026-01-20
CRV_00006,ADS_0002,Image_Studio Shot_v3,Image,Studio Shot,2026-01-20
CRV_00007,ADS_0003,Video_How-To_v1,Video,How-To,2026-01-20
CRV_00008,ADS_0003,Carousel_Before-After_v2,Carousel,Before-After,2026-01-20
CRV_00009,ADS_0003,Carousel_UGC_v3,Carousel,UGC,2026-02-04
CRV_00010,ADS_0003,Video_Testimonial_v4,Video,Testimonial,2026-01-20
CRV_00011,ADS_0003,Carousel_Testimonial_v5,Carousel,Testimonial,2026-01-20
CRV_00012,ADS_0004,Video_Studio Shot_v1,Video,Studio Shot,2026-01-20
CRV_00013,ADS_0004,Image_Testimonial_v2,Image,Testimonial,2026-01-20
CRV_00014,ADS_0004,Image_How-To_v3,Image,How-To,2026-01-20
CRV_00015,ADS_0004,Image_Studio Shot_v4,Image,Studio Shot,2026-01-20
CRV_00016,ADS_0004,Video_Unboxing_v5,Video,Unboxing,2026-03-06
CRV_00017,ADS_0005,Image_Before-After_v1,Image,Before-After,2026-01-20
CRV_00018,ADS_0005,Carousel_Studio Shot_v2,Carousel,Studio Shot,2026-01-20
CRV_00019,ADS_0005,Video_Product Close-up_v3,Video,Product Close-up,2026-03-06
CRV_00020,ADS_0006,Carousel_How-To_v1,Carousel,How-To,2026-01-20
CRV_00021,ADS_0006,Video_How-To_v2,Video,How-To,2026-01-20
CRV_00022,ADS_0006,Image_Product Close-up_v3,Image,Product Close-up,2026-02-19
CRV_00023,ADS_0006,Video_Lifestyle_v4,Video,Lifestyle,2026-01-20
CRV_00024,ADS_0007,Video_Before-After_v1,Video,Before-After,2026-01-20
CRV_00025,ADS_0007,Video_Product Close-up_v2,Video,Product Close-up,2026-02-19
CRV_00026,ADS_0007,Carousel_Product Close-up_v3,Carousel,Product Close-up,2026-01-20
CRV_00027,ADS_0007,Video_Testimonial_v4,Video,Testimonial,2026-01-20
CRV_00028,ADS_0008,Video_Testimonial_v1,Video,Testimonial,2026-02-19
CRV_00029,ADS_0008,Image_Product Close-up_v2,Image,Product Close-up,2026-01-20
CRV_00030,ADS_0008,Video_How-To_v3,Video,How-To,2026-01-20
CRV_00031,ADS_0008,Image_How-To_v4,Image,How-To,2026-01-20
CRV_00032,ADS_0009,Carousel_Lifestyle_v1,Carousel,Lifestyle,2026-01-20
CRV_00033,ADS_0009,Video_How-To_v2,Video,How-To,2026-01-20
CRV_00034,ADS_0009,Image_Studio Shot_v3,Image,Studio Shot,2026-02-04
