DateKey,Date,CampaignID,AdSetID,CreativeID,AudienceID,Spend,Impressions,Reach,Frequency,Clicks,LinkClicks,AddToCart,Purchases,Revenue
20260120,1/20/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,86.32,6369,2324,2.74,120,98,7,2,125.33
20260121,1/21/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,66.48,6048,1698,3.56,111,87,8,2,119.57
20260122,1/22/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,87.82,6947,3654,1.9,121,98,13,3,150.63
20260123,1/23/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,86.72,7841,2130,3.68,156,123,8,3,198.39
20260124,1/24/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,62.34,4732,1709,2.77,59,48,3,1,65.06
20260125,1/25/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,60.51,5386,3047,1.77,83,76,3,1,63.91
20260126,1/26/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,120.88,9950,5143,1.93,197,163,19,4,256.42
20260127,1/27/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,121.67,8939,5537,1.61,128,113,12,3,181.23
20260128,1/28/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,129.72,9465,2663,3.55,186,164,15,3,144.58
20260129,1/29/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,89.75,6826,1877,3.64,101,78,3,1,49
20260130,1/30/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,102.16,7755,2000,3.88,116,104,11,3,158.29
20260131,1/31/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,72.08,6131,2689,2.28,103,86,6,2,112.96
20260201,2/1/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,85.66,6688,2492,2.68,104,84,9,2,131.53
20260202,2/2/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,137.46,12647,6918,1.83,234,207,29,6,363.16
20260203,2/3/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,62.6,4632,2186,2.12,77,68,2,1,60.11
20260204,2/4/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,104.67,9505,5072,1.87,131,114,9,2,136.81
20260205,2/5/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,97.17,7681,2226,3.45,116,106,12,3,197.02
20260206,2/6/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,63.17,5295,1626,3.26,70,56,3,1,60.35
20260207,2/7/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,104.77,10236,4274,2.39,131,111,3,1,64.89
20260208,2/8/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,85.77,6251,3452,1.81,75,65,2,1,67.68
20260209,2/9/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,131.7,10671,3085,3.46,173,149,15,3,181.52
20260210,2/10/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,108.98,9124,3240,2.82,149,127,15,3,182.73
20260211,2/11/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,118.53,11294,4221,2.68,142,115,10,2,107.98
20260212,2/12/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,119.54,8962,2245,3.99,133,104,7,2,103.55
20260213,2/13/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,137.98,11002,5684,1.94,146,127,5,2,130.48
20260214,2/14/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,136.86,11700,3970,2.95,176,152,18,4,263.3
20260215,2/15/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,95.09,7422,3358,2.21,97,87,8,2,137.15
20260216,2/16/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,88.73,7661,3658,2.09,112,100,9,2,101.41
20260217,2/17/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,137.71,12690,4303,2.95,214,181,20,4,239.18
20260218,2/18/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,113.01,10718,3121,3.43,167,137,13,3,161.71
20260219,2/19/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,70.47,5147,1621,3.18,74,60,3,1,56.62
20260220,2/20/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,71.66,6063,2534,2.39,91,83,3,1,60.07
20260221,2/21/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,102.68,7889,3628,2.17,108,90,9,2,98.42
20260222,2/22/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,64.57,5330,3031,1.76,79,62,3,1,48.7
20260223,2/23/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,106.77,8422,2294,3.67,115,97,5,2,121.62
20260224,2/24/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,96.38,7994,2076,3.85,113,98,5,2,99.82
20260225,2/25/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,118.63,11000,3403,3.23,136,119,8,2,101.29
20260226,2/26/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,127.05,9341,2440,3.83,140,118,14,3,142.26
20260227,2/27/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,115.16,9114,4801,1.9,112,97,9,2,108.84
20260228,2/28/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,108.4,9554,2584,3.7,133,122,10,3,188.99
20260301,3/1/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,92.33,8115,3326,2.44,105,93,10,2,131.73
20260302,3/2/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,83.75,6680,2547,2.62,85,73,9,2,110.6
20260303,3/3/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,79,6843,2487,2.75,83,65,5,1,63.46
20260304,3/4/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,103.39,7588,2571,2.95,117,106,8,3,166.57
20260305,3/5/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,102.69,8289,3216,2.58,123,109,14,3,194.53
20260306,3/6/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,131.74,12598,7184,1.75,199,173,11,4,217.94
20260307,3/7/2026,CMP_001,ADS_0001,CRV_00001,AUD_001,98.87,8887,2700,3.29,94,77,8,2,120.35
